url,relations,start_date_to,start_date_from,start_date_sort,comments,alternative_names,external_links,review,start,name,set_num,volume,sb_text_number,pp_kdsb,num_folios,signature_letter,signature_number,drepung_number,provenance,zotero_ref,tibschol_ref,availability,dimension,item_description
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5336/,"[{'id': 1674, 'label': ""bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po'i don gyi cha shas bshad pa (5337) has as an instance bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po'i don gyi cha shas bshad pa (5336)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/5337/', 'label': ""bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po'i don gyi cha shas bshad pa (5337)"", 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5336/', 'label': ""bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po'i don gyi cha shas bshad pa (5336)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': None, 'tei_refs': None, 'support_notes': None, 'confidence': 'Positive', 'start': None, 'end': None}]",,,,"Although no signature is visible in the [5DSBYG9K] reproduction, this item matches the description of No. 19881 in [8H6M69W4].","sher phyin gyi don bsdus (cover page, catalogue)
bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po'i don gyi cha shas bshad pa (colophon)",https://purl.bdrc.io/resource/MW4PD3076_1DBC1E,False,,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po'i don gyi cha shas bshad pa,Set 4,91,4,311-334,12,la,583,19881,'bras spungs gnas bcu lha khang,,4_091_04,available,46 x 6,Script: bris ma dbu can
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5846/,"[{'id': 1846, 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846) written at mchims phu (5645)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5846/', 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.place/5645/', 'label': 'mchims phu (5645)', 'content_type_key': 'apis_ontology.place', 'content_type_name': 'place'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': 'ex2012023-07-1008-32-58', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}, {'id': 1845, 'label': ""lho brag rong pa bla ma 'od (4451) scribe of bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.person/4451/', 'label': ""lho brag rong pa bla ma 'od (4451)"", 'content_type_key': 'apis_ontology.person', 'content_type_name': 'person'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5846/', 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': 'ex2012023-07-1008-32-58', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}, {'id': 1844, 'label': ""yum brgyad stong pa'i don bsdus (4449) has as an instance bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/4449/', 'label': ""yum brgyad stong pa'i don bsdus (4449)"", 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5846/', 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': None, 'tei_refs': None, 'support_notes': None, 'confidence': 'Positive', 'start': None, 'end': None}, {'id': 2612, 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (2) (4448) has source bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/4448/', 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (2) (4448)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5846/', 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': None, 'tei_refs': None, 'support_notes': None, 'confidence': 'Positive', 'start': None, 'end': None}]",,,,"Lost instance of the Yum brgyad stong pa'i don bsdus (ID:4449) that was the source for instance (ID: 4448), which retained the original colophon and added a second scribe colophon.",bcom ldan 'das yum brgyad stong pa'i don bsdus pa (work colophon),,True,,bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1),,,,,,,,,,,,lost,,
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/4448/,"[{'id': 2612, 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (2) (4448) has source bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/4448/', 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (2) (4448)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5846/', 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (1) (5846)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': None, 'tei_refs': None, 'support_notes': None, 'confidence': 'Positive', 'start': None, 'end': None}, {'id': 1811, 'label': ""mar pa ston pa (5827) scribe of bcom ldan 'das yum brgyad stong pa'i don bsdus pa (2) (4448)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.person/5827/', 'label': 'mar pa ston pa (5827)', 'content_type_key': 'apis_ontology.person', 'content_type_name': 'person'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/4448/', 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (2) (4448)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': 'ex2012023-07-1008-34-15', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}, {'id': 1271, 'label': ""yum brgyad stong pa'i don bsdus (4449) has as an instance bcom ldan 'das yum brgyad stong pa'i don bsdus pa (2) (4448)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/4449/', 'label': ""yum brgyad stong pa'i don bsdus (4449)"", 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/4448/', 'label': ""bcom ldan 'das yum brgyad stong pa'i don bsdus pa (2) (4448)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': None, 'tei_refs': None, 'support_notes': None, 'confidence': 'Positive', 'start': None, 'end': None}]",,,,"This manuscript also contains the colophon by the scribe of a previous instance (ID: 5846), after which a second scribe colophon was added.","bcom ldan 'das yum brgyad stong pa'i don bsdus pa (work colophon)
rgyal ba'i yum gyi bsdus don (conclusive verse)",https://purl.bdrc.io/resource/MW1PD89051_089074,True,,bcom ldan 'das yum brgyad stong pa'i don bsdus pa (2),Set 1,2,1,13-55,22(/23),la,593,19955,'bras spungs gnas bcu lha khang,,1_002_01,available,64 x 9,"Script: 'bru tsha.
Fol. 1 missing. Two folios between fol. 5 and 7, numbered ""drug gong ma"" and ""drug.""
Folio number on last folio: nye gnyis bzhugs so
Orthography:
- Palatalization of m (e.g., dmyigs), but not systematic
- Bindu for m
- Numerals used for numbers
- Additional 'a rjes 'jug (e.g., dpe', dgu')
- the tsom for the tshom
- chu.ngu (or chung_ngu?) for chung ngu
- b frequently not closed on the top (looking like p) where b is expected (e.g., byang chub)
- Space used with the value of shad
- A few abbreviations (e.g., for thams cad, sems can)
- In the interlinear notes, Na for myed
Interlinear notes referring to the Tibetan translation of the base text and some glosses in cursive script (notably, indicating the absence of a corresponding commentary). A number of insertions (corrections). On fol. 15a, a few insertions in dbu can, e.g., fols. 13b, 15a."
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7594/,"[{'id': 6276, 'label': ""bcom ldan ral gri'i rnam thar dad pa'i ljon shing (7016) has as an instance bcom ldan pa'i rnam thar (7594)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/7016/', 'label': ""bcom ldan ral gri'i rnam thar dad pa'i ljon shing (7016)"", 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7594/', 'label': ""bcom ldan pa'i rnam thar (7594)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': '', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}, {'id': 6278, 'label': ""bcom ldan rigs pa'i ral gri'i rnam thar dad pa'i ljon shing (7595) has source bcom ldan pa'i rnam thar (7594)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7595/', 'label': ""bcom ldan rigs pa'i ral gri'i rnam thar dad pa'i ljon shing (7595)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7594/', 'label': ""bcom ldan pa'i rnam thar (7594)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': '', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}]",,,,,,https://purl.bdrc.io/resource/MW1KG10687_C16B42,False,,bcom ldan pa'i rnam thar,,,,,14,ra,64,17145,'bras spungs gnas bcu lha khang,UC3KTC86,,available,34.5 x 7.8,Script: dpe tshugs
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7017/,"[{'id': 4663, 'label': ""bcom ldan ral gri'i rnam thar dad pa'i ljon shing (7016) has as an instance bcom ldan ral gri'i rnam thar dad pa'i ljon shing (7017)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/7016/', 'label': ""bcom ldan ral gri'i rnam thar dad pa'i ljon shing (7016)"", 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7017/', 'label': ""bcom ldan ral gri'i rnam thar dad pa'i ljon shing (7017)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': '', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}]",,,,"A 26-folio handwritten dbu med manuscript and a retyped text are mentioned in [FZ6N88AU] and in the introduction to [5IPSARNF]: lxxxvii, n. 1.",,,True,,bcom ldan ral gri'i rnam thar dad pa'i ljon shing,,,,,26,,,,,,,non-accessible,,Script: dbu med
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7595/,"[{'id': 6278, 'label': ""bcom ldan rigs pa'i ral gri'i rnam thar dad pa'i ljon shing (7595) has source bcom ldan pa'i rnam thar (7594)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7595/', 'label': ""bcom ldan rigs pa'i ral gri'i rnam thar dad pa'i ljon shing (7595)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7594/', 'label': ""bcom ldan pa'i rnam thar (7594)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': '', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}, {'id': 6277, 'label': ""bcom ldan ral gri'i rnam thar dad pa'i ljon shing (7016) has as an instance bcom ldan rigs pa'i ral gri'i rnam thar dad pa'i ljon shing (7595)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/7016/', 'label': ""bcom ldan ral gri'i rnam thar dad pa'i ljon shing (7016)"", 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7595/', 'label': ""bcom ldan rigs pa'i ral gri'i rnam thar dad pa'i ljon shing (7595)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': '', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}]",2006-12-31,2006-01-01,2006-07-02,,,https://purl.bdrc.io/resource/MW00EGS1017426_372F9F,False,2006,bcom ldan rigs pa'i ral gri'i rnam thar dad pa'i ljon shing,,,,,,,,,,,,available,,"Typeset edition in dbu can in dpe cha format based on a manuscript from gNas bcu lha khang, probably (ID:7594)."
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7256/,"[{'id': 5486, 'label': ""bde ba can gyi bstod pa 'dzam bu'i sil snyan dang | dpal ldan mar mdzad ye shes la bstod pa | brtson ldan gyi thos bsam pa rnams la bstod pa (4907) has as an instance bde ba can gyi bstod pa 'dzam bu'i sil snyan (7256)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/4907/', 'label': ""bde ba can gyi bstod pa 'dzam bu'i sil snyan dang | dpal ldan mar mdzad ye shes la bstod pa | brtson ldan gyi thos bsam pa rnams la bstod pa (4907)"", 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/7256/', 'label': ""bde ba can gyi bstod pa 'dzam bu'i sil snyan (7256)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': '', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}]",,,,,,,True,,bde ba can gyi bstod pa 'dzam bu'i sil snyan,,,,,3,la,501,19271,'bras spungs gnas bcu lha khang,,,non-accessible,43 x 6.5,Script: dpe tshugs.
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/4906/,"[{'id': 1477, 'label': ""bde ba can gyi bstod pa 'dzam bu'i sil snyan dang | dpal ldan mar mdzad ye shes la bstod pa | brtson ldan gyi thos bsam pa rnams la bstod pa (4907) has as an instance bde ba can gyi bstod pa 'dzam bu'i sil snyan dang | dpal ldan mar mdzad ye shes la bstod pa | brtson ldan gyi thos bsam pa rnams la bstod pa (4906)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/4907/', 'label': ""bde ba can gyi bstod pa 'dzam bu'i sil snyan dang | dpal ldan mar mdzad ye shes la bstod pa | brtson ldan gyi thos bsam pa rnams la bstod pa (4907)"", 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/4906/', 'label': ""bde ba can gyi bstod pa 'dzam bu'i sil snyan dang | dpal ldan mar mdzad ye shes la bstod pa | brtson ldan gyi thos bsam pa rnams la bstod pa (4906)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': None, 'tei_refs': None, 'support_notes': None, 'confidence': 'Positive', 'start': None, 'end': None}]",,,,,bde ba can gyi me tog 'dzam bu'i sil snyan (catalogue),https://purl.bdrc.io/resource/MW1PD89084_865059,False,,bde ba can gyi bstod pa 'dzam bu'i sil snyan dang | dpal ldan mar mdzad ye shes la bstod pa | brtson ldan gyi thos bsam pa rnams la bstod pa,Set 2,52,1,3-13,6,la,371,18894,'bras spungs gnas bcu lha khang,,2_052_01,available,46 x 7,Script: dpe tshugs.
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/4430/,"[{'id': 1262, 'label': 'bde ba can gyi smon lam (4431) has as an instance bde ba can gyi smon lam (4430)', 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/4431/', 'label': 'bde ba can gyi smon lam (4431)', 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/4430/', 'label': 'bde ba can gyi smon lam (4430)', 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': '', 'tei_refs': 'xml:id=""ex1052023-04-241305""', 'support_notes': '', 'confidence': 'Positive', 'start': None, 'end': None}]",,,,"The signature letter is reported as ""la"" in [8H6M69W4], and as ""ma"" in [2PUVZG5F]: 46.",,https://purl.bdrc.io/resource/MW1PD89051_E84B09,True,,bde ba can gyi smon lam,Set 1,1,5,73-77,3,la,345,18712,'bras spungs gnas bcu lha khang,,1_001_05,available,36 x 7,"Script: dpe tshugs (cover page), 'khyug yig (text)
Right and left indent of decreasing size on fol. 2a, left indent of the first two lines on fol. 2b.
Post-colophon notes after the colophon on 2b8 up to 3a4, probably mantras."
https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5424/,"[{'id': 1716, 'label': ""bde ba gshegs pa'i bka' yi dgongs pa la nye ba mkho ba gces gces rnams phyogs gcig tu sdebs pa (5425) has as an instance bde ba gshegs pa'i bka' yi dgongs pa la nye ba mkho ba gces gces rnams phyogs gcig tu sdebs pa (5424)"", 'subj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.work/5425/', 'label': ""bde ba gshegs pa'i bka' yi dgongs pa la nye ba mkho ba gces gces rnams phyogs gcig tu sdebs pa (5425)"", 'content_type_key': 'apis_ontology.work', 'content_type_name': 'work'}, 'obj': {'url': 'https://tibschol.acdh-ch-dev.oeaw.ac.at/apis/api/apis_ontology.instance/5424/', 'label': ""bde ba gshegs pa'i bka' yi dgongs pa la nye ba mkho ba gces gces rnams phyogs gcig tu sdebs pa (5424)"", 'content_type_key': 'apis_ontology.instance', 'content_type_name': 'instance'}, 'end_date_to': None, 'end_date_from': None, 'end_date_sort': None, 'start_date_to': None, 'start_date_from': None, 'start_date_sort': None, 'zotero_refs': None, 'tei_refs': None, 'support_notes': None, 'confidence': 'Positive', 'start': None, 'end': None}]",,,,,,https://purl.bdrc.io/resource/MW4PD3076_A3FC02,False,,bde ba gshegs pa'i bka' yi dgongs pa la nye ba mkho ba gces gces rnams phyogs gcig tu sdebs pa,Set 4,108,1,3-69,34,,,,,,4_108_01,available,,
